sourceId,slug,company,title,summary,body,perkType,amountDisplay,creditValueUsd,currency,eligibility,fundingStages,regions,categories,applyUrl,sourceUrl,lastVerified,verified,isActive,featured,partnerOnly,sortOrder
cloudflare-for-startups,cloudflare-for-startups,Cloudflare,"Up to $250,000 in Cloudflare credits","Cloudflare's startup program offers infrastructure credits for eligible startups that need performance, security, and developer platform services.","Cloudflare publishes multiple startup credit tiers, including smaller entry tiers and larger partner-linked tiers. Members should verify the current tier, usage limits, and one-year expiration terms before applying.",credit,"Up to $250,000 in credits",250000,USD,Early-stage funded startups accepted into approved startup ecosystems and partner networks.,Pre-seed | Seed | Series A,Global,Cloud | Security | Performance,https://www.cloudflare.com/forstartups/,https://www.cloudflare.com/forstartups/,2026-04-23,true,true,false,false,100
github-for-startups,github-for-startups,GitHub,"Up to $10,000 in GitHub credits",GitHub for Startups provides eligible partner-affiliated startups with credits that can be used across GitHub Enterprise and related products.,"GitHub describes the offer as flexible platform credits for eligible startups. Members should verify current eligibility, partner requirements, and credit scope before applying.",credit,"Up to $10,000 in credits",10000,USD,Startups up to Series B that are affiliated with an approved GitHub for Startups partner and are new to GitHub Enterprise or have not been on an Enterprise plan within the past 6 months.,Pre-seed | Seed | Series A | Series B,Global,Developer Tools | Infrastructure | Security,https://github.com/enterprise/startups,https://github.com/enterprise/startups,2026-04-23,true,true,false,false,110
0x-jumpstart,0x-jumpstart,0x,0x JumpStart Program,"$5,000 in API credits for Web3 startups. Build decentralized finance applications.","0x JumpStart provides $5,000 in API credits for Web3 startups, along with mentorship and ecosystem integration support. Build decentralized exchange functionality into your application with industry-leading protocol.",credit,"$5,000 credits",5000,,Web3 startups building on 0x protocol or decentralized finance applications.,Pre-seed | Seed | Series A,Global,Web3 | Blockchain | Fintech,https://0x.org,https://0x.org,2026-02-14,false,true,false,false,
ai21labs-startup,ai21labs-startup,AI21 Labs,AI21 Labs Startup Program,Premium language models for startups. Build with Jurassic-2 and Command models.,"AI21 Labs provides access to their premium language models including Jurassic-2 and Command. Startups can build sophisticated AI applications with models designed for reading comprehension, summarization, and text generation.",credit,Credits vary,10000,,AI startups building applications with language models.,Pre-seed | Seed | Series A,Global,AI | Developer Tools,https://www.ai21.com,https://www.ai21.com,2026-02-14,false,true,false,false,
alchemy-startup,alchemy-startup,Alchemy,Alchemy for Startups,Build blockchain applications on the most powerful platform. Credits for Web3 development.,"Alchemy provides the infrastructure powering the world's top blockchain applications. Startups get access to powerful development tools, reliable node infrastructure, and API credits to build the next generation of Web3 apps.",credit,Credits vary,20000,,Early-stage Web3 startups building blockchain applications.,Pre-seed | Seed | Series A,Global,Web3 | Blockchain,https://www.alchemy.com/startup-program,https://www.alchemy.com/startup-program,2026-02-14,false,true,false,false,
algolia-for-startups,algolia-for-startups,Algolia,Algolia startup search credits,Algolia startup programs can provide search and discovery credits for product teams scaling user-facing search.,Credit caps and terms can change. Verify current startup package details with Algolia before applying.,credit,"Up to $10,000 in credits (program-dependent)",10000,USD,Early-stage startups through approved partner channels or direct startup applications.,Pre-seed | Seed | Series A,Global,Developer Tools | Search,https://www.algolia.com/,https://www.algolia.com/,2026-02-06,false,true,false,false,
aws-activate,aws-activate,Amazon Web Services,AWS Activate credits for startups,"AWS Activate provides startup credits, technical support resources, and training for early-stage teams building on AWS.",Credit levels depend on your funding status and partner association. Review current criteria and credit limits on the official program page.,credit,"Up to $100,000 in credits",100000,USD,"Startups that are self-funded or institutionally funded, with stronger tiers often accessed via approved Activate Providers.",Bootstrapped | Pre-seed | Seed | Series A,Global,Cloud | DevOps | Infrastructure,https://aws.amazon.com/startups,https://aws.amazon.com/startups,2026-02-05,true,true,false,false,
amplitude-for-startups,amplitude-for-startups,Amplitude,Amplitude for Startups analytics benefits,"Amplitude startup offerings can include free usage tiers, credits, or discounted growth plans.",Exact limits differ by package and region. Validate current startup plan terms on official Amplitude pages.,mixed,Free Growth plan credits (program-dependent),,,Startups meeting plan or partner criteria for startup-oriented onboarding programs.,Pre-seed | Seed | Series A,Global,Analytics | Product,https://amplitude.com/startups,https://amplitude.com/,2026-02-06,false,true,false,false,
anthropic-startup-credits,anthropic-startup-credits,Anthropic,Anthropic Claude startup credits,Free API credits for startups building with Claude. Anthropic offers credits through partner programs and accelerator ecosystems.,Anthropic supports startups through partner programs and accelerator ecosystems. Credit amounts vary based on the partner program and startup eligibility.,credit,Credits vary by program ($1K-$100K+),25000,,Startups accepted into partner programs or accelerator programs that include Anthropic credits.,Pre-seed | Seed | Series A | Series B,Global,AI | Developer Tools,https://www.anthropic.com/startups,https://www.anthropic.com/startups,2026-02-14,true,true,false,false,
atlassian-for-startups,atlassian-for-startups,Atlassian,Atlassian for Startups collaboration credits,Atlassian startup programs can offer credits and discounts across products such as Jira and Confluence.,Available products and credit limits can differ by track. Verify current package details on official Atlassian pages.,credit,"Up to $50,000 in credits (program-dependent)",50000,USD,"Early-stage startups, often through approved VC, accelerator, or ecosystem partners.",Pre-seed | Seed | Series A,Global,Productivity | Collaboration,https://www.atlassian.com/software/startups,https://www.atlassian.com/software/startups,2026-02-06,false,true,false,false,
